author,comment_original,published_at,like_count,comment_clean
@adjiedharmasatya9695,Kak tiati di ilangin juga 😢,2025-09-09T05:26:03Z,0,kak tiati di ilangin juga
@lowbudgetangler3433,"Sejarah itu bukan ditulis dari kebenaran masa lalu, tapi ditulis sama pemenang (yang berkuasa)",2025-09-09T05:13:55Z,1,sejarah itu bukan ditulis dari kebenaran masa lalu tapi ditulis sama pemenang yang berkuasa
@warmanggo616,"semoga kita kelak dapat mencapai renaissance, jangan jauh-jauh emas dulu deh. kita sudah cukup berdarah untuk itu, semoga semangat ini terus terjaga dan semakin membara untuk anak-anak ibu pertiwi selanjutnya",2025-09-09T02:27:30Z,0,semoga kita kelak dapat mencapai renaissance jangan jauh jauh emas dulu deh kita sudah cukup berdarah untuk itu semoga semangat ini terus terjaga dan semakin membara untuk anak anak ibu pertiwi selanjutnya
@kufra-v3o,07:41 ini adalah alasan kenapa Jawa banyak yang menghina padahal yang salah adalah pemimpin nya,2025-09-08T07:20:54Z,3,07 41 ini adalah alasan kenapa jawa banyak yang menghina padahal yang salah adalah pemimpin nya
@njgdsuhchyr,admin lupa bahas kenapa timor leste misah dari indonesia😁,2025-09-07T18:45:11Z,0,admin lupa bahas kenapa timor leste misah dari indonesia
@BackBeat-Starsindrom,"Wih, keren banget nih tim Kok Bisa, udah mulai menyuarakan reformasi dan perubahan dalam tubuh bangsa ini...",2025-09-07T12:26:45Z,0,wih keren banget nih tim kok bisa udah mulai menyuarakan reformasi dan perubahan dalam tubuh bangsa ini
@IlyasaZaini-vu8pz,bro ini harus dilindungi 💀,2025-09-07T11:24:08Z,0,bro ini harus dilindungi
@karapurwandhi7827,Wanpis,2025-09-07T09:40:22Z,0,wanpis
@nandqt969,sebagus ini gratis🎉,2025-09-07T03:42:30Z,0,sebagus ini gratis
@C.I.A.-for-F.B.I,Ini bisa menimbulkan rendahnya kepercayaan warga terhadap pemerintah!,2025-09-06T11:27:45Z,0,ini bisa menimbulkan rendahnya kepercayaan warga terhadap pemerintah
@Ashcajg,Loh 2 bulan lalu? Gw kira video baru njir,2025-09-06T07:58:08Z,1,loh 2 bulan lalu gw kira video baru njir
@maulanacahyogumilang9593,Mantappp koo,2025-09-06T02:39:44Z,0,mantap koo
@thetarget5615,Ngeriiiii🔥✊,2025-09-05T06:12:46Z,0,ngeri
@Mister-f6i,"Watch ""Rich man - aespa"" now! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",2025-09-05T04:09:14Z,0,watch rich man aespa now
@ArkhaLevana,Dari dulu indonesia memang kejam,2025-09-04T23:45:17Z,0,dari dulu indonesia memang kejam
@KhuriyatulLailiAhadiyah,"Gak papa kita nurut asalkan koruptor di bunuh, negara maju dan kehidupan Rakyat semua terjamin sama negara",2025-09-04T23:29:27Z,0,gak papa kita nurut asalkan koruptor di bunuh negara maju dan kehidupan rakyat semua terjamin sama negara
@akupadamuu1371,Sering - sering bang bikin konten gini. Ada banyak sejarah yang ga di ajarin di sekolah,2025-09-02T10:55:30Z,0,sering sering bang bikin konten gini ada banyak sejarah yang ga di ajarin di sekolah
@picklesdumpling3829,Thanks!,2025-09-02T08:08:13Z,0,thanks
@MuhammadRiskiMaulana-h4b9z,"8:26 9:00 ahhh the instrument is very, very good, berikan aku judul🗣️🔥🔥🔥",2025-09-02T07:15:04Z,1,8 26 9 00 ah the instrument is very very good berikan aku judul
@FaridRizky-fk1yt,free Palestine,2025-09-02T06:35:15Z,0,free palestine
@Horizon-f7n,Bang bahas kalau gak ada DPR gimana,2025-09-01T10:31:55Z,0,bang bahas kalau gak ada dpr gimana
@renzy01,"rakyat malah pada komen ""Tni bersama rakyat"" 😂",2025-08-30T09:30:08Z,0,rakyat malah pada komen tni bersama rakyat
@HihSerius,uwihhh,2025-08-29T22:56:51Z,0,uwih
@dydss0264,"knpa ya kok bisa pengisi suaranya kdng kecil kdng besar suaranya, kyak ga stabil gt, kita gedein volume dirasa pas nnti tbtb kegedean, kita kecilin udh pas nnti lama lama ga kedengeran",2025-08-29T12:55:13Z,0,knpa ya kok bisa pengisi suaranya kdng kecil kdng besar suaranya kyak ga stabil gt kita gedein volume dirasa pas nnti tbtb kegedean kita kecilin udh pas nnti lama lama ga kedengeran
@rizkyakbar-w1k,sejarah ditulis oleh pemenang,2025-08-28T23:02:57Z,0,sejarah ditulis oleh pemenang
@ibnunau,ati2 di grebek min bikin vidio fakta😂,2025-08-28T05:09:26Z,0,ati2 di grebek min bikin vidio fakta
@andika_aditya5156,"gila merinding aku , makkasih udah nyadarin 
Soalnya udah di sibukkan dengan kelakuan penjabat korup 
Sampai lupa pemerintah diam-diam mau revisi sejarah😢",2025-08-28T04:25:31Z,0,gila merinding aku makkasih udah nyadarin soalnya udah di sibukkan dengan kelakuan penjabat korup sampai lupa pemerintah diam diam mau revisi sejarah
@febrian4974,"Dlu pas SMA pernah pnya cita"" jdi guru sejarah mulai lah lebih banyak menyelam tentang sejarah di berbagai web dan video tpi setelah tau ternyata banyak sejarah yg kelam dihilangkan dan diubah saya jdi tdk tertarik lagi dan sbagai contoh teman saya yg sdh jdi guru sejarah selama 1 tahun setengah pindah haluan karna tdk kuat mengajari hal yg tdk bnr pada realita nya",2025-08-27T09:01:30Z,0,dlu pas sma pernah pnya cita jdi guru sejarah mulai lah lebih banyak menyelam tentang sejarah di berbagai web dan video tpi setelah tau ternyata banyak sejarah yg kelam dihilangkan dan diubah saya jdi tdk tertarik lagi dan sbagai contoh teman saya yg sdh jdi guru sejarah selama 1 tahun setengah pindah haluan karna tdk kuat mengajari hal yg tdk bnr pada realita nya
@muhammadseptianramadhan931,sejarah ditulis oleh sang pemenang,2025-08-27T01:30:46Z,0,sejarah ditulis oleh sang pemenang
@FarhanAdi-z9x,"Dan si fadli zon ini dpet bintang mahaputra dri si owo ini bidang sejarah, aowkwkwkwokw 😂😂😂😂",2025-08-27T00:04:23Z,0,dan si fadli zon ini dpet bintang mahaputra dri si owo ini bidang sejarah aowkwkwkwokw
@takeomasaki1813,"Haha Si P sudah jadi atasan negara yang tertinggi masih diam2 saja tentang kasus 1998, padahal dia termasuk peran aktif dan ini artinya memang dia sendiri TIDAK MAU membuka apa yang terjadi pad saat itu, dan dia tidak berniat untuk MEMBUKA",2025-08-26T07:48:50Z,0,haha si p sudah jadi atasan negara yang tertinggi masih diam2 saja tentang kasus 1998 padahal dia termasuk peran aktif dan ini artinya memang dia sendiri tidak mau membuka apa yang terjadi pad saat itu dan dia tidak berniat untuk membuka
@almasatsiruddin,"Yuk para orang tua, merupakan kewajiban kita untuk meneruskan ilmu sejarah yang sebenarnya.",2025-08-26T06:17:25Z,0,yuk para orang tua merupakan kewajiban kita untuk meneruskan ilmu sejarah yang sebenarnya
@AviSennaGunadi,"Sejarah bisa dihapus dari buku sekolah, tapi tidak bisa dihapus dari media digital yang bisa tersebar dimana saja",2025-08-25T06:45:48Z,0,sejarah bisa dihapus dari buku sekolah tapi tidak bisa dihapus dari media digital yang bisa tersebar dimana saja
@AbayAverage,Kemungkinan apa yang terjadi jika semua 5 negara ama masyarakat tiap negara tau aksi itachi dari perintah atasan konoha?,2025-08-24T10:54:53Z,0,kemungkinan apa yang terjadi jika semua 5 negara ama masyarakat tiap negara tau aksi itachi dari perintah atasan konoha
@ArsaArsalanbaqir,Kak coba jelaskan kenapa orang sering typo?,2025-08-24T01:16:27Z,0,kak coba jelaskan kenapa orang sering typo
@YogieSarhan,p,2025-08-23T10:57:09Z,0,p
@Rafa_Azka_freepalestine,One piece adalah representasi dari dunia nyata sendiri,2025-08-23T02:20:38Z,1,one piece adalah representasi dari dunia nyata sendiri
@D3ONARCH,MENOLAK LUPA!!! LAWAN✊,2025-08-21T10:58:08Z,1,menolak lupa lawan
@Fluxxyy-y6w,"sumpah nih channel kesukaan gue banget, pikiran gue jadi lebih terbuka kepada semua hal, dari politik, alam semesta, dunia, gue jadi lebih pengen tau semua hal, dari channel ini, makasi ya min, udah bagi wawasan dan pengetahuan nya, semoga channel nya sukses selaluuu❗❗🔥🔥",2025-08-21T03:52:07Z,0,sumpah nih channel kesukaan gue banget pikiran gue jadi lebih terbuka kepada semua hal dari politik alam semesta dunia gue jadi lebih pengen tau semua hal dari channel ini makasi ya min udah bagi wawasan dan pengetahuan nya semoga channel nya sukses selalu
@kiannalendra9883,"bang gimana kamu bisa tau tentang sejarah sejarah ini? gamungkin dong ad di buku pkn, saya masih sekolah menengah pertama, jadi masih kurang tau banyak",2025-08-19T09:12:22Z,0,bang gimana kamu bisa tau tentang sejarah sejarah ini gamungkin dong ad di buku pkn saya masih sekolah menengah pertama jadi masih kurang tau banyak
@koalaAcco,Suka banget sama video essay nya KokBisa,2025-08-19T05:02:00Z,0,suka banget sama video essay nya kokbisa
@NurHasanah-s6m8m,Makasih untuk tim kok bisa karena nonton video video dari kok bisa jadi nya kalau banyak pertanyaan dari guru guru di sekolah pasti bisa saya jawab sekali lagi makasih yaa tim kok bisa❤,2025-08-18T09:50:16Z,0,makasih untuk tim kok bisa karena nonton video video dari kok bisa jadi nya kalau banyak pertanyaan dari guru guru di sekolah pasti bisa saya jawab sekali lagi makasih yaa tim kok bisa
@shittycops,kkk,2025-08-18T03:49:54Z,0,k
@gu7740,"Pertama kali nonton video dari channel ini dan benar-benar mata saya ga bisa kemana-mana lagi. Voiceover hebat dengan visualisasi yang membuat orang merasa tergerak – sungguh memang sempurna. 

Tak terbayang kita sampai pada saat Indonesia di kondisi sekarang. Kian hari semakin banyak sejarah yang tersembunyi dan terlupakan. Bisakah kita berkata kita hidup di Indonesia jika kita tidak tahu sejarahnya? Apa itu Indonesia tanpa sejarahnya? Dengan orang-orang berkuasa yang bertindak seperti ini, bisakah generasi selanjutnya tetap membuka mata mereka dan berbicara dengan berani? Kita hanya bisa berharap, berdoa, dan terus berusaha untuk membuat itu menjadi realita. Jangan biarkan kita dijajah lagi. Oleh negara asing, negara sendiri, ataupun diri kita sendiri.",2025-08-16T15:29:11Z,0,pertama kali nonton video dari channel ini dan benar benar mata saya ga bisa kemana mana lagi voiceover hebat dengan visualisasi yang membuat orang merasa tergerak sungguh memang sempurna tak terbayang kita sampai pada saat indonesia di kondisi sekarang kian hari semakin banyak sejarah yang tersembunyi dan terlupakan bisakah kita berkata kita hidup di indonesia jika kita tidak tahu sejarahnya apa itu indonesia tanpa sejarahnya dengan orang orang berkuasa yang bertindak seperti ini bisakah generasi selanjutnya tetap membuka mata mereka dan berbicara dengan berani kita hanya bisa berharap berdoa dan terus berusaha untuk membuat itu menjadi realita jangan biarkan kita dijajah lagi oleh negara asing negara sendiri ataupun diri kita sendiri
@muhammadfebrianpandu2794,"Sejarah yang kita baca hanyalah potret yang sudah dipoles, kanvas masa lalu yang dicat ulang oleh mereka yang ingin dikenang",2025-08-16T13:03:56Z,0,sejarah yang kita baca hanyalah potret yang sudah dipoles kanvas masa lalu yang dicat ulang oleh mereka yang ingin dikenang
@Jjdjd-oj6rj,pantesan ga pernah ketemu sejarah kelam Indonesia di buku ppkn,2025-08-16T10:55:48Z,0,pantesan ga pernah ketemu sejarah kelam indonesia di buku ppkn
@muhammadfatih8707,HIDUP!,2025-08-15T04:32:43Z,0,hidup
@g0l.denbrown,"""those who forget the history are doomed to repeat it.""",2025-08-14T14:04:03Z,0,those who forget the history are doomed to repeat it
@RindiAnisatulAulia,Admin kuliah ambil jurusan apa,2025-08-14T12:07:52Z,0,admin kuliah ambil jurusan apa
@fdhltnns,need to download this video for my grand grand grand child in the future,2025-08-13T14:08:42Z,0,need to download this video for my grand grand grand child in the future
@Minepixeler24,"Ketika sejarah dihapus di buku pelajaran sejarah, inilah waktu nya video-video ""melawan lupa"" punya banyak video yg akan memperlihatkan kembali sejarah yg dihapus.",2025-08-13T13:39:12Z,6,ketika sejarah dihapus di buku pelajaran sejarah inilah waktu nya video video melawan lupa punya banyak video yg akan memperlihatkan kembali sejarah yg dihapus
@jadwaraihan6326,Jika sejarah dihapus maka sejarah yang dihapus tersebut akan tertulis kembali karena kita tak bisa mempelajari apa penyebab sejarah yang dihapus itu bisa terjadi,2025-08-11T06:26:41Z,0,jika sejarah dihapus maka sejarah yang dihapus tersebut akan tertulis kembali karena kita tak bisa mempelajari apa penyebab sejarah yang dihapus itu bisa terjadi
@ardijaya_x,"Bang back up semua video, supaya pas kena takedown bisa di reupload, atau di sebarluaskan, tekan kan video video ini bukan untuk propaganda, tapi kita menolak untuk melupakan nya",2025-08-11T04:09:08Z,0,bang back up semua video supaya pas kena takedown bisa di reupload atau di sebarluaskan tekan kan video video ini bukan untuk propaganda tapi kita menolak untuk melupakan nya
@syeivamahanata3429,"Bangunlah saudaraku, ini bukan lagi sekedar perselisihan pilihan presiden, ini adalah tentang hancurnya esensi dari demokrasi yang telah dicapai dengan harga darah jutaan pria ibu dan anak anak",2025-08-11T01:39:12Z,0,bangunlah saudaraku ini bukan lagi sekedar perselisihan pilihan presiden ini adalah tentang hancurnya esensi dari demokrasi yang telah dicapai dengan harga darah jutaan pria ibu dan anak anak
@javsimpena2649,Ternyata indonesia sama saja dengan israel,2025-08-10T12:36:55Z,0,ternyata indonesia sama saja dengan israel
@rizkyaanggraeny1602,mantap keren bgt,2025-08-10T02:40:40Z,0,mantap keren bgt
@kay9909,I am Standing On A Million lives,2025-08-10T00:31:50Z,0,i am standing on a million lives
@fadelxdgabut380,"Well well well entah kenapa video ini akan relate banget ama bulan agustus ini dengan sejarahnya lah ato dengan one piece nya idk, tapi yang jelas sejarah indo udah mulai rusak bukan cuma sejarah jaman dulu tapi sejarah untuk masa depan juga sudah tercemar oleh kebodohan",2025-08-09T09:38:00Z,0,well well well entah kenapa video ini akan relate banget ama bulan agustus ini dengan sejarahnya lah ato dengan one piece nya idk tapi yang jelas sejarah indo udah mulai rusak bukan cuma sejarah jaman dulu tapi sejarah untuk masa depan juga sudah tercemar oleh kebodohan
@fahmimajid6409,"""Rumbling"" attack on titan di dunia nyata, suatu kelompok, peradaban, sejarah dihapus agar ada kesan ""damai"" sesaat, sisanya ya konflik berulang.",2025-08-09T04:48:58Z,0,rumbling attack on titan di dunia nyata suatu kelompok peradaban sejarah dihapus agar ada kesan damai sesaat sisanya ya konflik berulang
@user-ayuitshere,kerenn banget kalian berani frontal membahas ini divideo kalian.🎉🎉,2025-08-09T04:27:00Z,0,kerenn banget kalian berani frontal membahas ini divideo kalian
@irsyanaafi,SIMPAN VIDEO INI GUYS SEBELUM DIHAPUS PEMERINTAH,2025-08-08T11:00:11Z,0,simpan video ini guys sebelum dihapus pemerintah
@asahanleather4582,"Semoga sumatra, sulawesi, kalimantan dan papua lekas merdeka❤❤",2025-08-06T14:52:13Z,0,semoga sumatra sulawesi kalimantan dan papua lekas merdeka
@NizamItel,"karna dia mungkin ada rapor merah nya disitu makanya coba di hilangkan, karna hal itu jadi berkali2 noda dan celah dia pas debat pilpres sampe lostreak 2x",2025-08-05T22:07:36Z,0,karna dia mungkin ada rapor merah nya disitu makanya coba di hilangkan karna hal itu jadi berkali2 noda dan celah dia pas debat pilpres sampe lostreak 2x
@septianadisaputra9757,"Malah banyak author luar negri yang meluruskan sejarah indonesia, ada yang seru judul bukunya “The Jakarta Method” by Vincent Bevin. Disana diungkap keterlibatan Amerika memutar balikan fakta dan propaganda besar besaran di Indonesia buat menggulingkan Soekarno. Supaya ideologi kapitalis amerika bisa masuk ke negara negara ke tiga. Lalu metode propaganda ini di terapin CIA dinegara negara lainnya. Ini yang bener bener di sembunyikan di Indonesia, dan udah ada faktanya, coba bahas min. 

Kalau channel besar kayak kok bisa bahas ini sih keren bgt dah.",2025-08-04T17:05:38Z,0,malah banyak author luar negri yang meluruskan sejarah indonesia ada yang seru judul bukunya the jakarta method by vincent bevin disana diungkap keterlibatan amerika memutar balikan fakta dan propaganda besar besaran di indonesia buat menggulingkan soekarno supaya ideologi kapitalis amerika bisa masuk ke negara negara ke tiga lalu metode propaganda ini di terapin cia dinegara negara lainnya ini yang bener bener di sembunyikan di indonesia dan udah ada faktanya coba bahas min kalau channel besar kayak kok bisa bahas ini sih keren bgt dah
@_leoyn,6:29 sekarang one piece naik lagi gara gara alur yang sama seperti yang di vid,2025-08-04T11:31:17Z,0,6 29 sekarang one piece naik lagi gara gara alur yang sama seperti yang di vid
@wike-x1x,sdh diangkat tema ini kok bisa... pertanda sdh tidak baik baik saja,2025-08-04T02:02:23Z,0,sdh diangkat tema ini kok bisa pertanda sdh tidak baik baik saja
@koliqhoadampratama8994,Bang buat playlist sejarah Indonesia yang banyak orang tidak tahuu,2025-08-03T15:09:41Z,0,bang buat playlist sejarah indonesia yang banyak orang tidak tahuu
@apriantoefendi6049,"Petrus harus nya ada di zaman ini.
Persetan sama ham premanisme aja cumn mikir duit doang.",2025-08-03T11:12:24Z,0,petrus harus nya ada di zaman ini persetan sama ham premanisme aja cumn mikir duit doang
@snain4590,🌻,2025-08-03T03:20:11Z,0,
@StoryAlfachannel,"Keluarga kami ada yg berketurunan Belanda tapi kami sangat bersyukur karena sekarang tidak ada diskriminasi lagi kalo dulu keturunan Belanda diusir dari Indonesia sekarang gak lagi kami sangat bersyukur banget 

Bedankt ""kokbisa"" dat je me hebt geholpen om zelfverzekerd anders over te komen 😊😊",2025-08-01T15:31:31Z,1,keluarga kami ada yg berketurunan belanda tapi kami sangat bersyukur karena sekarang tidak ada diskriminasi lagi kalo dulu keturunan belanda diusir dari indonesia sekarang gak lagi kami sangat bersyukur banget bedankt kokbisa dat je me hebt geholpen om zelfverzekerd anders over te komen
@KyaoyAeo,2:16 Alasan Amerika beli Filipina apa ya? Padahal dari segi geografis letak Amerika sama Filipina sangat jauhh.,2025-08-01T13:43:16Z,0,2 16 alasan amerika beli filipina apa ya padahal dari segi geografis letak amerika sama filipina sangat jauhh
@MisbahulMunir-p1o,"ini adalah pekerjaan yg sulit dan harus sabar!!,, masalahnya SEJARAH, SUDAH RERPUTOS PUTOS.... ( QURA'N / MUSHAF OSMANY)👉 penyusunannya, secara ACAK? sehingga sulit difahami dgn pembuktian( perwujudan?.. )  +sudah terputos oleh berbage kitab SUCI OLEH/VERSI 5 NAMA AL KITAB (5× dituronkan?...),,  Sudah terlalu lama ( mendarah & mendageng) jika dilakukan secara instan?,, maka mereka/kita semua, akan merasa kesakitan!!,, jadi, butoh adaptasi agar kita semua menyadari dgn diri sejatinya👉💡☀️, 🎉❤❤❤🌐🌎🌍🌏🔵🟢|🧓🧑|🌴🌲🌾🦕🐏🐃🦈🦟||🕳️🪐🚀🛰️||🏬🏢🛣️🛤️🏡🏠🚛🚗🏍️√dll...❤❤❤ ( QURA'N MAJID 🌐 VESI JIBREL CS OF ALAM ZHAR/... I,DE) +SCEINTIVIC'S & CONSEPTION'S 💎 OF ARSY!,🌐🔵🟢...ALLOH SWT❤❤❤❤❤❤❤",2025-07-31T23:08:19Z,0,ini adalah pekerjaan yg sulit dan harus sabar masalahnya sejarah sudah rerputos putos qura n mushaf osmany penyusunannya secara acak sehingga sulit difahami dgn pembuktian perwujudan sudah terputos oleh berbage kitab suci oleh versi 5 nama al kitab 5 dituronkan sudah terlalu lama mendarah mendageng jika dilakukan secara instan maka mereka kita semua akan merasa kesakitan jadi butoh adaptasi agar kita semua menyadari dgn diri sejatinya dll qura n majid vesi jibrel cs of alam zhar i de sceintivic s conseption s of arsy alloh swt
@GiaIrlanda,Semoga channel ini tetap selalu ada  dan memberikan konten edukasi.,2025-07-31T01:25:46Z,0,semoga channel ini tetap selalu ada dan memberikan konten edukasi
@farelgaming1983,Tea or coffee?,2025-07-30T13:39:29Z,0,tea or coffee
@shashamiaow1504,Tapi bagusnya ai kayak chat gpt mendukung palestina lho. Fair juga jawab soal amerika yang mencuri minyak,2025-07-29T09:02:48Z,1,tapi bagusnya ai kayak chat gpt mendukung palestina lho fair juga jawab soal amerika yang mencuri minyak
@yusrilyusril2381,"Negara2 eropa sudah lama melakukannya 😆
Salah satunya hanya membahas Nazi dan jepang",2025-07-29T04:47:01Z,0,negara2 eropa sudah lama melakukannya salah satunya hanya membahas nazi dan jepang
@fajarsepex9775,di buku sekolah saja saya dulu selama sekolah 12 tahun isinya cuman hal baik aja ga di ajarin sisi gelap dari pemerintah itu sendiri 😅 masih harus mencari referensi sejarah lain,2025-07-29T00:05:54Z,0,di buku sekolah saja saya dulu selama sekolah 12 tahun isinya cuman hal baik aja ga di ajarin sisi gelap dari pemerintah itu sendiri masih harus mencari referensi sejarah lain
@freemasonry666,SEJARAH DITULIS OLEH PENGUASA,2025-07-28T19:04:15Z,1,sejarah ditulis oleh penguasa
