comment_ori,comment_clean,llm_label
uwihhh,uwih,Netral
"knpa ya kok bisa pengisi suaranya kdng kecil kdng besar suaranya, kyak ga stabil gt, kita gedein volume dirasa pas nnti tbtb kegedean, kita kecilin udh pas nnti lama lama ga kedengeran",knpa isi suara kdng kecil kdng besar suara kyak stabil gedein volume rasa tbtb gede kecilin lama lama kedengeran,Positif
sejarah ditulis oleh pemenang,sejarah tulis menang,Positif
ati2 di grebek min bikin vidio fakta😂,grebek vidio fakta,Negatif
"gila merinding aku , makkasih udah nyadarin 
Soalnya udah di sibukkan dengan kelakuan penjabat korup 
Sampai lupa pemerintah diam-diam mau revisi sejarah😢",gila merinding udah nyadarin udah sibuk laku jabat korup lupa perintah diam diam revisi sejarah,Netral
"Dlu pas SMA pernah pnya cita"" jdi guru sejarah mulai lah lebih banyak menyelam tentang sejarah di berbagai web dan video tpi setelah tau ternyata banyak sejarah yg kelam dihilangkan dan diubah saya jdi tdk tertarik lagi dan sbagai contoh teman saya yg sdh jdi guru sejarah selama 1 tahun setengah pindah haluan karna tdk kuat mengajari hal yg tdk bnr pada realita nya",pernah pnya cita guru sejarah mulai banyak selam sejarah bagai video nyata banyak sejarah kelam hilang ubah tarik sbagai contoh teman guru sejarah lama tahun tengah pindah haluan karna kuat ajar realita,Netral
sejarah ditulis oleh sang pemenang,sejarah tulis sing menang,Netral
"Dan si fadli zon ini dpet bintang mahaputra dri si owo ini bidang sejarah, aowkwkwkwokw 😂😂😂😂",fadli dpet bintang mahaputra bidang sejarah aowkwkwkwokw,Netral
"Haha Si P sudah jadi atasan negara yang tertinggi masih diam2 saja tentang kasus 1998, padahal dia termasuk peran aktif dan ini artinya memang dia sendiri TIDAK MAU membuka apa yang terjadi pad saat itu, dan dia tidak berniat untuk MEMBUKA",haha atas negara tingi diam kasus padahal masuk peran aktif arti sendiri buka jadi niat buka,Positif
"Yuk para orang tua, merupakan kewajiban kita untuk meneruskan ilmu sejarah yang sebenarnya.",rupa wajib terus ilmu sejarah benar,Netral
"Sejarah bisa dihapus dari buku sekolah, tapi tidak bisa dihapus dari media digital yang bisa tersebar dimana saja",sejarah hapus buku sekolah hapus medium digital sebar,Netral
Kemungkinan apa yang terjadi jika semua 5 negara ama masyarakat tiap negara tau aksi itachi dari perintah atasan konoha?,mungkin jadi semua negara masyarakat tiap negara aksi itachi perintah atas konoha,Positif
Kak coba jelaskan kenapa orang sering typo?,jelas typo,Positif
p,,Netral
One piece adalah representasi dari dunia nyata sendiri,piece representasi dunia nyata sendiri,Netral
MENOLAK LUPA!!! LAWAN✊,tolak lupa lawan,Positif
"sumpah nih channel kesukaan gue banget, pikiran gue jadi lebih terbuka kepada semua hal, dari politik, alam semesta, dunia, gue jadi lebih pengen tau semua hal, dari channel ini, makasi ya min, udah bagi wawasan dan pengetahuan nya, semoga channel nya sukses selaluuu❗❗🔥🔥",sumpah chanel sukan pikir buka semua politik alam semesta dunia ken semua chanel makas udah wawas tahu moga chanel sukses,Positif
"bang gimana kamu bisa tau tentang sejarah sejarah ini? gamungkin dong ad di buku pkn, saya masih sekolah menengah pertama, jadi masih kurang tau banyak",sejarah sejarah gamungkin buku sekolah tengah pertama kurang banyak,Netral
Suka banget sama video essay nya KokBisa,suka video esay kokbisa,Positif
Makasih untuk tim kok bisa karena nonton video video dari kok bisa jadi nya kalau banyak pertanyaan dari guru guru di sekolah pasti bisa saya jawab sekali lagi makasih yaa tim kok bisa❤,nonton video video banyak pertanyan guru guru sekolah jawab,Netral
kkk,,Netral
"Pertama kali nonton video dari channel ini dan benar-benar mata saya ga bisa kemana-mana lagi. Voiceover hebat dengan visualisasi yang membuat orang merasa tergerak – sungguh memang sempurna. 

Tak terbayang kita sampai pada saat Indonesia di kondisi sekarang. Kian hari semakin banyak sejarah yang tersembunyi dan terlupakan. Bisakah kita berkata kita hidup di Indonesia jika kita tidak tahu sejarahnya? Apa itu Indonesia tanpa sejarahnya? Dengan orang-orang berkuasa yang bertindak seperti ini, bisakah generasi selanjutnya tetap membuka mata mereka dan berbicara dengan berani? Kita hanya bisa berharap, berdoa, dan terus berusaha untuk membuat itu menjadi realita. Jangan biarkan kita dijajah lagi. Oleh negara asing, negara sendiri, ataupun diri kita sendiri.",pertama nonton video chanel benar benar mata voiceover hebat visualisasi rasa gerak sunguh sempurna bayang indonesia kondisi sekarang kian hari banyak sejarah sembunyi lupa bisa kata hidup indonesia sejarah indonesia sejarah kuasa tindak bisa generasi lanjut tetap buka mata bicara berani harap doa usaha realita biar jajah negara asing negara sendiri atau diri sendiri,Netral
"Sejarah yang kita baca hanyalah potret yang sudah dipoles, kanvas masa lalu yang dicat ulang oleh mereka yang ingin dikenang",sejarah baca hanya potret pole kanvas masa cat ulang kenang,Netral
pantesan ga pernah ketemu sejarah kelam Indonesia di buku ppkn,pantesan pernah ketemu sejarah kelam indonesia buku,Positif
HIDUP!,hidup,Positif
"""those who forget the history are doomed to repeat it.""",lupa sejarah takdir ulang,Positif
Admin kuliah ambil jurusan apa,admin kuliah ambil jurus,Positif
need to download this video for my grand grand grand child in the future,perlu mendownload video cucu cucu kelak,Positif
"Ketika sejarah dihapus di buku pelajaran sejarah, inilah waktu nya video-video ""melawan lupa"" punya banyak video yg akan memperlihatkan kembali sejarah yg dihapus.",sejarah hapus buku ajar sejarah ini waktu video video lawan lupa punya banyak video lihat sejarah hapus,Positif
Jika sejarah dihapus maka sejarah yang dihapus tersebut akan tertulis kembali karena kita tak bisa mempelajari apa penyebab sejarah yang dihapus itu bisa terjadi,sejarah hapus sejarah hapus tulis ajar sebab sejarah hapus jadi,Positif
"Bang back up semua video, supaya pas kena takedown bisa di reupload, atau di sebarluaskan, tekan kan video video ini bukan untuk propaganda, tapi kita menolak untuk melupakan nya",back semua video kena takedown reupload sebarluaskan tekan video video propaganda tolak lupa,Positif
"Bangunlah saudaraku, ini bukan lagi sekedar perselisihan pilihan presiden, ini adalah tentang hancurnya esensi dari demokrasi yang telah dicapai dengan harga darah jutaan pria ibu dan anak anak",bangun saudara dar selisih pilih presiden hancur esensi demokrasi capai harga darah jutan pria anak anak,Positif
Ternyata indonesia sama saja dengan israel,nyata indonesia israel,Positif
mantap keren bgt,mantap keren,Netral
I am Standing On A Million lives,diri juta hidup,Positif
"Well well well entah kenapa video ini akan relate banget ama bulan agustus ini dengan sejarahnya lah ato dengan one piece nya idk, tapi yang jelas sejarah indo udah mulai rusak bukan cuma sejarah jaman dulu tapi sejarah untuk masa depan juga sudah tercemar oleh kebodohan",entah video relate bulan agustus sejarah piece jelas sejarah indo udah mulai rusak sejarah jaman dulu sejarah masa depan cemar bodoh,Netral
"""Rumbling"" attack on titan di dunia nyata, suatu kelompok, peradaban, sejarah dihapus agar ada kesan ""damai"" sesaat, sisanya ya konflik berulang.",rumble atack titan dunia nyata suatu kelompok adab sejarah hapus kesan damai sesat sisa konflik ulang,Positif
kerenn banget kalian berani frontal membahas ini divideo kalian.🎉🎉,keren berani frontal bahas video,Positif
SIMPAN VIDEO INI GUYS SEBELUM DIHAPUS PEMERINTAH,simpan video guy hapus perintah,Netral
"Semoga sumatra, sulawesi, kalimantan dan papua lekas merdeka❤❤",moga sumatra sulawesi kalimantan papua lekas merdeka,Netral
"karna dia mungkin ada rapor merah nya disitu makanya coba di hilangkan, karna hal itu jadi berkali2 noda dan celah dia pas debat pilpres sampe lostreak 2x",karna rapor merah situ makanya hilang karna kali noda celah debat pilpres lostreak,Positif
"Malah banyak author luar negri yang meluruskan sejarah indonesia, ada yang seru judul bukunya “The Jakarta Method” by Vincent Bevin. Disana diungkap keterlibatan Amerika memutar balikan fakta dan propaganda besar besaran di Indonesia buat menggulingkan Soekarno. Supaya ideologi kapitalis amerika bisa masuk ke negara negara ke tiga. Lalu metode propaganda ini di terapin CIA dinegara negara lainnya. Ini yang bener bener di sembunyikan di Indonesia, dan udah ada faktanya, coba bahas min. 

Kalau channel besar kayak kok bisa bahas ini sih keren bgt dah.",banyak author luar negri lurus sejarah indonesia seru judul buku jakarta method vincent bevin sana ungkap libat amerika putar balik fakta propaganda besar besar indonesia buat uling soekarno ideologi kapitalis amerika masuk negara negara tiga metode propaganda terapin negara negara lai bener bener sembunyi indonesia udah fakta bahas chanel besar bahas keren,Negatif
6:29 sekarang one piece naik lagi gara gara alur yang sama seperti yang di vid,sekarang piece naik gara gara alur,Netral
sdh diangkat tema ini kok bisa... pertanda sdh tidak baik baik saja,angkat tema tanda baik baik,Netral
Bang buat playlist sejarah Indonesia yang banyak orang tidak tahuu,buat playlist sejarah indonesia banyak,Positif
"Petrus harus nya ada di zaman ini.
Persetan sama ham premanisme aja cumn mikir duit doang.",petrus zaman persetan preman cumn mikir duit doang,Positif
🌻,,Netral
"Keluarga kami ada yg berketurunan Belanda tapi kami sangat bersyukur karena sekarang tidak ada diskriminasi lagi kalo dulu keturunan Belanda diusir dari Indonesia sekarang gak lagi kami sangat bersyukur banget 

Bedankt ""kokbisa"" dat je me hebt geholpen om zelfverzekerd anders over te komen 😊😊",keluarga turun belanda syukur sekarang diskriminasi kalo dulu turun belanda usir indonesia sekarang syukur bedankt kokbisa hebt geholpen zelfverzekerd anders komen,Positif
2:16 Alasan Amerika beli Filipina apa ya? Padahal dari segi geografis letak Amerika sama Filipina sangat jauhh.,ala amerika beli filipina padahal segi geografis letak amerika filipina jauh,Positif
"ini adalah pekerjaan yg sulit dan harus sabar!!,, masalahnya SEJARAH, SUDAH RERPUTOS PUTOS.... ( QURA'N / MUSHAF OSMANY)👉 penyusunannya, secara ACAK? sehingga sulit difahami dgn pembuktian( perwujudan?.. )  +sudah terputos oleh berbage kitab SUCI OLEH/VERSI 5 NAMA AL KITAB (5× dituronkan?...),,  Sudah terlalu lama ( mendarah & mendageng) jika dilakukan secara instan?,, maka mereka/kita semua, akan merasa kesakitan!!,, jadi, butoh adaptasi agar kita semua menyadari dgn diri sejatinya👉💡☀️, 🎉❤❤❤🌐🌎🌍🌏🔵🟢|🧓🧑|🌴🌲🌾🦕🐏🐃🦈🦟||🕳️🪐🚀🛰️||🏬🏢🛣️🛤️🏡🏠🚛🚗🏍️√dll...❤❤❤ ( QURA'N MAJID 🌐 VESI JIBREL CS OF ALAM ZHAR/... I,DE) +SCEINTIVIC'S & CONSEPTION'S 💎 OF ARSY!,🌐🔵🟢...ALLOH SWT❤❤❤❤❤❤❤",pekerjan sulit sabar masalah sejarah rerputos putos qura mushaf osmany penyusunanya acak sehinga sulit difahami bukti wujud terputos berbage kitab suci versi nama kitab dituronkan lama darah mendageng instan semua rasa sakit butoh adaptasi semua sadar diri sejati qura majid vesi jibrel alam zhar sceintivic conseption arsy aloh,Netral
Semoga channel ini tetap selalu ada  dan memberikan konten edukasi.,moga chanel tetap beri konten edukasi,Negatif
Tea or coffee?,kopi,Positif
Tapi bagusnya ai kayak chat gpt mendukung palestina lho. Fair juga jawab soal amerika yang mencuri minyak,bagus chat dukung palestina fair jawab soal amerika curi minyak,Positif
"Negara2 eropa sudah lama melakukannya 😆
Salah satunya hanya membahas Nazi dan jepang",negara eropa lama melakukanya salah satu bahas nazi jepang,Positif
di buku sekolah saja saya dulu selama sekolah 12 tahun isinya cuman hal baik aja ga di ajarin sisi gelap dari pemerintah itu sendiri 😅 masih harus mencari referensi sejarah lain,buku sekolah dulu lama sekolah tahun isi baik ajarin sisi gelap perintah sendiri cari referensi sejarah,Netral
SEJARAH DITULIS OLEH PENGUASA,sejarah tulis kuasa,Negatif
"tapi china sensor ketat maju negara, tapi yg kasus tank man emg bikin merinding",china sensor ketat maju negara kasus tank merinding,Positif
"Kalau negara ingin menghapus, kita rakyat yg akan menceritakan sampe anak cucu",negara hapus rakyat cerita anak cucu,Positif
"semakin dewasa semakin sadar hidup di Indonesia tidak seindah waktu kecil, banyak hal yang harus kita lawan demi kemajuan",dewasa sadar hidup indonesia indah waktu kecil banyak lawan maju,Positif
apakah The History Repeats Itself is real?,history repeat nyata,Netral
"Almarhum Kakek saya dulunya adalah Salah satu Dari Pemimpin kecil Pasukan Permesta di Sumatera, Saya agak sedikit Bertanya² mengapa Jawa Selalu Di prioritaskan oleh pemerintah pada masa itu, Jujur saya sangat amat kagum dengan Kakek Saya Yang Bernama Karel Silalahi.",almarhum kakek salah satu pimpin kecil pasu permesta sumatera sedikit tanya jawa prioritas perintah masa jujur kagum kakek nama karel silalahi,Negatif
Emang Prabowo Subianto asem,prabowo subianto asem,Netral
"7:21 sebagai orang makassar, ini yang paling ngena sejarahnya untuk diingat.",makasar ngena sejarah dingat,Negatif
Bang coba bahas kenapa manusia bisa kedutan,bahas manusia kedut,Negatif
Min req Bagaimana Jika Manusia Memiliki IQ di atas 1000,manusia,Positif
Dari vid ini sy belajar kalau kita harus belajar sejarah,ajar ajar sejarah,Netral
nice konten bang,nice konten,Netral
"disini kita melangkah, dan kita melihat, di sisi sebelah dari kepemimpinan, yang senyum, datar, dan marah. Kita melihat, melihat hinga selesai, dan kita sadar, bahwa tidak ada yang baik di sisi manapun, semuanya sama, saya dulu tersilut propaganda, sekarang saya menyadari, bahwa itu semua bohong",sini lang sisi belah pimpin senyum datar marah selesai sadar baik sisi mana semua dulu tersilut propaganda sekarang sadar semua bohong,Netral
"Hari ini sahabatku pergi merantau, satu''nya wanita yg aku kucintai memiliki orang baru.. tolong semangatin 😊",hari sahabat pergi rantau satu wanita cinta baru semangatin,Positif
"Yg jadi masalah lagi adalah, ini bahkan belum masuk (atau belum lama masuk) buku sejarah. Zaman aku sekolah sd-sma, pelajaran sejarah indonesia cuma dari zaman kerajaan (kutai) sampai ke supersemar, udah. Dari taun 1966-skg gaada. Iya gaada sama sekali di buku. Kejadian 1998 juga gaada. 
Sejarah indonesia selama orde baru sampe sekarang itu mostly dibahas sama pegiat kayanya, bukan sama anak sekolah. Dan sekarang pemerintah lagi kebakaran jenggot untuk menghapus/mengubah itu sebelum meluas. Bisa jadi beneran hilang, jd void decades. kek one piece aja.",masalah masuk lama masuk buku sejarah zaman sekolah ajar sejarah indonesia zaman kerajan kuta supersemar udah taun gada gada buku jadi gada sejarah indonesia lama orde baru sekarang mostly bahas giat kaya anak sekolah sekarang perintah bakar jengot hapus ubah luas beneran hilang void decade piece,Positif
solusi terbaik gimana?,solusi baik,Netral
"Tapiiii ak setuju kalo ada peterus lagi biar tahu santun smua, trus orang tua lebih aware didik anak biar ga jadi berandal, jgn dikit"" 🧑‍🦰 : Adek jangan yaa nanti di marah org, padahal anak ny udah pecahin kaca sama buat org terganggu. Belom lagi Mon maaf org"" yg kurang mampu buat anak banyak"" ujung"" ekonomi sulit malah halal in smua cara jdi maling, anak bsar ikut"" an jdi berandal tukang begal. GA SEMUA SIH TAPI BANYAK DAN ITU FAKTA!!!!",tuju kalo peterus santun smua trus aware didik anak berandal dikit adek marah padahal anak udah pecahin kaca buat tergangu bom kurang mampu buat anak banyak ujung ekonomi sulit halal smua cara maling anak bsar ikut berandal tukang begal semua banyak fakta,Negatif
"Sejarah kelam suatu negara atau kelompok harus tetap di ajarkan ke anak cucu kita, bukan untuk di ulang tapi sebagai pengingat bahwa tindakan2 yg terjadi di masa lampau dapat berdampak buruk bagi kehidupan.

Jika hal2 itu di hilangkan dan anak cucu kita tidak dapat mempelajari peristiwa2 kelam itu. Bisa saja mereka mengulangi pristiwa itu tanpa mereka sadari, karna mereka tak pernah belajar dari sejarah.",sejarah kelam suatu negara kelompok tetap ajar anak cucu ulang ingat tindak jadi masa lampau dampak buruk hidup hilang anak cucu ajar peristiwa kelam ulang pristiwa sadar karna pernah ajar sejarah,Positif
Rakyat harus berkata KAMI BUKAN ROBOT TAPI MANUSIA!,rakyat kata robot manusia,Positif
cuma satu kata ”lawan” itu bener. jangan pernah nyerah sama banyak pertanyaan tentang Indonesia dikepala kalian. terus belajar.,satu kata lawan bener pernah nyerah banyak pertanyan indonesia kepala ajar,Netral
Japan : First time ?,jepang pertama,Positif
"""Yang menang adalah yang benar, yang kalah adalah yang salah""",menang benar kalah salah,Negatif
"Tetap bersuara kok bisa, di jaman sekarang yang mayoritasnya pengguna tiktok dan punya attention span yg pendek itu susah buat nyampein ilmu kyk gini ke mereka",tetap suara jaman sekarang mayoritas penguna tiktok punya atention span pendek susah buat nyampein ilmu,Negatif
WOWW Thank You Kok Bisa,thank,Positif
"Rakyat Indonesia, itu dianggap hewan ternak, bukan manusia.

Dan mental ini sudah ditanamkan sejak order baru berdiri, diturunin secara turun-temurun. Yang akhirnya, sekarang banyak rakyat takut, gak peduli, dll ketika ada kesalahan di pemerintahan. Cuman berani koar di sosmed, gak berani turun kejalan, gampang di setir, dikasih 10Rb bakal jilatin kaki pejabat.

Kalo sadar dan berani pun, udah pisah ini Sumatra sama Kalimantan. SDA kami di keruk dari dulu, yang kenyang pulau Jawa.",rakyat indonesia diangap hewan ternak manusia mental tanam sejak order baru diri diturunin turun turun akhir sekarang banyak rakyat takut peduli salah perintah berani koar sosmed berani turun jalan gampang setir kasih jilatin kaki jabat kalo sadar berani udah pisah sumatra kalimantan keruk dulu kenyang pulau jawa,Netral
bang coba bahas game catur,bahas game catur,Netral
gokkilll dari tahun ke tahun makin keren aja kualitas animasinya,gokil tahun tahun keren kualitas animasi,Netral
